scenario_id,planner_id,seed,fog_condition,success,path_length,executed_steps,replans,computation_time_ms
osm_penteli_pharma_delivery_medium,astar,5,fog_off,False,221,2001,0,177211.98
osm_penteli_pharma_delivery_medium,astar,2,fog_off,False,636,2001,0,177218.37
osm_penteli_pharma_delivery_medium,astar,1,fog_off,False,592,2001,0,180011.46
osm_penteli_pharma_delivery_medium,astar,4,fog_off,False,545,2001,0,181832.83
osm_penteli_pharma_delivery_medium,astar,3,fog_off,False,212,2001,0,184385.68
osm_penteli_pharma_delivery_medium,astar,0,fog_off,False,144,2001,0,186880.2
osm_penteli_pharma_delivery_medium,periodic_replan,0,fog_off,True,144,144,23,11206.92
osm_penteli_pharma_delivery_medium,periodic_replan,1,fog_off,True,592,592,98,70006.33
osm_penteli_pharma_delivery_medium,periodic_replan,2,fog_off,True,636,640,106,74444.2
osm_penteli_pharma_delivery_medium,periodic_replan,3,fog_off,True,212,238,39,20044.24
osm_penteli_pharma_delivery_medium,periodic_replan,5,fog_off,True,221,546,27,54579.46
osm_penteli_pharma_delivery_medium,periodic_replan,4,fog_off,True,545,573,95,62751.01
osm_penteli_pharma_delivery_medium,astar,7,fog_off,False,406,2001,0,184014.29
osm_penteli_pharma_delivery_medium,astar,9,fog_off,False,277,2001,0,181147.35
osm_penteli_pharma_delivery_medium,astar,6,fog_off,False,393,2001,0,185735.96
osm_penteli_pharma_delivery_medium,astar,8,fog_off,False,258,2001,0,185719.06
osm_penteli_pharma_delivery_medium,periodic_replan,6,fog_off,True,397,419,69,37129.55
osm_penteli_pharma_delivery_medium,periodic_replan,7,fog_off,True,406,408,67,36735.1
osm_penteli_pharma_delivery_medium,aggressive_replan,0,fog_off,True,144,144,48,11776.69
osm_penteli_pharma_delivery_medium,periodic_replan,8,fog_off,True,258,260,43,22002.57
osm_penteli_pharma_delivery_medium,aggressive_replan,3,fog_off,True,212,214,71,18537.04
osm_penteli_pharma_delivery_medium,periodic_replan,9,fog_off,True,283,309,51,26932.78
osm_penteli_pharma_delivery_medium,aggressive_replan,6,fog_off,True,397,397,132,45606.0
osm_penteli_pharma_delivery_medium,aggressive_replan,7,fog_off,True,406,406,135,47863.02
osm_penteli_pharma_delivery_medium,aggressive_replan,5,fog_off,True,221,545,53,63366.91
osm_penteli_pharma_delivery_medium,aggressive_replan,4,fog_off,True,545,545,181,79201.31
osm_penteli_pharma_delivery_medium,aggressive_replan,8,fog_off,True,258,260,86,23438.11
osm_penteli_pharma_delivery_medium,dstar_lite,0,fog_off,True,144,144,2,12260.39
osm_penteli_pharma_delivery_medium,aggressive_replan,9,fog_off,True,283,283,94,25813.74
osm_penteli_pharma_delivery_medium,aggressive_replan,1,fog_off,True,592,592,197,99212.03
osm_penteli_pharma_delivery_medium,aggressive_replan,2,fog_off,True,636,636,212,98611.1
osm_penteli_pharma_delivery_medium,dstar_lite,3,fog_off,True,212,212,2,18884.86
osm_penteli_pharma_delivery_medium,dstar_lite,6,fog_off,True,397,397,2,36464.77
osm_penteli_pharma_delivery_medium,dstar_lite,1,fog_off,True,592,592,5,59618.49
osm_penteli_pharma_delivery_medium,dstar_lite,7,fog_off,True,406,408,5,37892.61
